Header	Length	%A(3)	%T(3)	%G(3)	%C(3)	%GC(all)	%GC(1)	%GC(2)	%GC(3)	COUSIN_18	COUSIN_59	CAI_59	CAI_18	ENC	SCUO	FOP	CBI	ICDI	Scaled_Chi	GRAVY	AROMA	eucl_dist_vs_ref (a.a)	eucl_dist_vs_H0 (a.a)
AH007464_3_61-296,497-735,936-1046,1246-1439,1630-1880,2081-2215,2416-2596,2797-2979,3180-3281,3482-3601,3802-4020 Homo sapiens methylenetetrahydrofolate reductase (MTHFR) gene, complete cds_4	1971	19.482	19.026	26.484	35.008	52.308	54.795	40.639	61.492	1.232	1.036	0.767	0.797	54.902	0.072	0.451	0.173	0.09	0.486	-0.41	0.104	0.044	0.1
AH007464_3_61-296,497-735,936-1046,1246-1439,1630-1880,2081-2215,2416-2596,2797-2979,3180-3281,3482-3601,3802-4020 Homo sapiens methylenetetrahydrofolate reductase (MTHFR) gene, complete cds_5	1971	20.091	22.527	28.311	29.072	50.736	54.186	40.639	57.382	0.599	0.652	0.774	0.799	55.189	0.054	0.419	0.125	0.049	0.486	-0.41	0.104	0.044	0.1
AH007464_3_61-296,497-735,936-1046,1246-1439,1630-1880,2081-2215,2416-2596,2797-2979,3180-3281,3482-3601,3802-4020 Homo sapiens methylenetetrahydrofolate reductase (MTHFR) gene, complete cds_6	1971	17.656	25.723	28.615	28.006	50.837	55.251	40.639	56.621	0.463	0.791	0.781	0.801	55.477	0.064	0.424	0.132	0.053	0.486	-0.41	0.104	0.044	0.1
AH007464_3_61-296,497-735,936-1046,1246-1439,1630-1880,2081-2215,2416-2596,2797-2979,3180-3281,3482-3601,3802-4020 Homo sapiens methylenetetrahydrofolate reductase (MTHFR) gene, complete cds_7	1971	20.852	20.7	29.376	29.072	51.192	54.338	40.791	58.447	0.668	0.951	0.788	0.815	51.162	0.096	0.451	0.173	0.118	0.487	-0.41	0.104	0.044	0.1
AH007464_3_61-296,497-735,936-1046,1246-1439,1630-1880,2081-2215,2416-2596,2797-2979,3180-3281,3482-3601,3802-4020 Homo sapiens methylenetetrahydrofolate reductase (MTHFR) gene, complete cds_8	1971	21.005	21.309	28.311	29.376	51.294	55.403	40.791	57.686	1.013	0.911	0.77	0.799	55.245	0.065	0.433	0.147	0.067	0.486	-0.41	0.104	0.044	0.1
AH007464_3_61-296,497-735,936-1046,1246-1439,1630-1880,2081-2215,2416-2596,2797-2979,3180-3281,3482-3601,3802-4020 Homo sapiens methylenetetrahydrofolate reductase (MTHFR) gene, complete cds_9	1971	19.33	23.896	29.985	26.788	50.634	54.49	40.639	56.773	0.939	0.967	0.77	0.797	56.291	0.062	0.43	0.142	0.069	0.486	-0.41	0.104	0.044	0.1
AF542069_1_34-1863 Homo sapiens serum albumin (HSA) mRNA, complete cds	1830	28.689	32.295	19.508	19.508	43.005	53.607	36.393	39.016	-0.581	-0.612	0.728	0.759	54.639	0.082	0.32	-0.061	0.087	0.543	-0.356	0.092	0.106	0.138
AF542069_1_34-1863 Homo sapiens serum albumin (HSA) mRNA, complete cds_0	1830	18.689	21.639	29.836	29.836	50.929	56.557	36.557	59.672	0.93	0.756	0.784	0.81	54.226	0.068	0.462	0.16	0.097	0.546	-0.356	0.092	0.106	0.138
AF542069_1_34-1863 Homo sapiens serum albumin (HSA) mRNA, complete cds_1	1830	16.721	25.574	29.016	28.689	50.383	56.885	36.557	57.705	1.004	0.941	0.778	0.801	53.325	0.076	0.44	0.126	0.086	0.545	-0.356	0.092	0.106	0.138
AF542069_1_34-1863 Homo sapiens serum albumin (HSA) mRNA, complete cds_2	1830	18.852	20.82	28.197	32.131	51.038	56.393	36.393	60.328	0.979	1.172	0.78	0.794	55.002	0.064	0.482	0.191	0.063	0.545	-0.356	0.092	0.106	0.138
AF542069_1_34-1863 Homo sapiens serum albumin (HSA) mRNA, complete cds_3	1830	21.311	20.328	29.016	29.344	50.546	56.885	36.393	58.361	1.253	1.247	0.774	0.789	54.258	0.062	0.478	0.186	0.076	0.545	-0.356	0.092	0.106	0.138
AF542069_1_34-1863 Homo sapiens serum albumin (HSA) mRNA, complete cds_4	1830	18.361	24.59	30.328	26.721	49.727	55.738	36.393	57.049	0.553	0.661	0.769	0.797	55.814	0.063	0.445	0.134	0.075	0.543	-0.356	0.092	0.106	0.138
AF542069_1_34-1863 Homo sapiens serum albumin (HSA) mRNA, complete cds_5	1830	20.328	20.328	30.0	29.344	50.383	55.246	36.557	59.344	0.781	0.84	0.777	0.792	53.569	0.073	0.453	0.147	0.079	0.545	-0.356	0.092	0.106	0.138
AF542069_1_34-1863 Homo sapiens serum albumin (HSA) mRNA, complete cds_6	1830	19.836	24.098	29.18	26.885	49.29	55.41	36.393	56.066	0.566	0.715	0.786	0.808	53.481	0.069	0.457	0.152	0.092	0.545	-0.356	0.092	0.106	0.138
AF542069_1_34-1863 Homo sapiens serum albumin (HSA) mRNA, complete cds_7	1830	19.18	25.574	28.361	26.885	49.071	55.41	36.557	55.246	0.79	0.793	0.775	0.796	56.922	0.063	0.438	0.124	0.068	0.543	-0.356	0.092	0.106	0.138
AF542069_1_34-1863 Homo sapiens serum albumin (HSA) mRNA, complete cds_8	1830	21.311	19.016	29.508	30.164	50.765	56.066	36.557	59.672	1.144	1.071	0.773	0.801	54.431	0.055	0.463	0.163	0.071	0.546	-0.356	0.092	0.106	0.138
AF542069_1_34-1863 Homo sapiens serum albumin (HSA) mRNA, complete cds_9	1830	21.475	22.623	29.18	26.721	49.344	55.574	36.557	55.902	0.745	0.719	0.779	0.799	56.871	0.052	0.453	0.147	0.046	0.543	-0.356	0.092	0.106	0.138
LC120323_1_71-1192 Homo sapiens ESR1 mRNA for human estrogen receptor alpha splice variant, CTERP-1, complete cds	1122	12.834	14.706	33.957	38.503	58.734	56.15	47.594	72.46	2.166	1.928	0.805	0.837	46.462	0.158	0.562	0.351	0.205	0.395	-0.621	0.08	0.072	0.113
LC120323_1_71-1192 Homo sapiens ESR1 mRNA for human estrogen receptor alpha splice variant, CTERP-1, complete cds_0	1122	17.914	17.914	29.412	34.759	55.348	54.278	47.594	64.171	1.172	0.935	0.752	0.786	56.159	0.079	0.41	0.124	0.093	0.392	-0.621	0.08	0.072	0.113
LC120323_1_71-1192 Homo sapiens ESR1 mRNA for human estrogen receptor alpha splice variant, CTERP-1, complete cds_1	1122	18.449	22.46	27.807	31.283	54.991	58.289	47.594	59.091	0.423	0.487	0.768	0.792	58.822	0.053	0.401	0.112	0.056	0.395	-0.621	0.08	0.072	0.113
LC120323_1_71-1192 Homo sapiens ESR1 mRNA for human estrogen receptor alpha splice variant, CTERP-1, complete cds_2	1122	21.123	20.856	27.54	30.481	54.189	56.952	47.594	58.021	0.729	0.768	0.778	0.803	55.938	0.103	0.421	0.141	0.127	0.39	-0.621	0.08	0.072	0.113
LC120323_1_71-1192 Homo sapiens ESR1 mRNA for human estrogen receptor alpha splice variant, CTERP-1, complete cds_3	1122	18.449	21.925	27.54	32.086	54.545	56.417	47.594	59.626	0.971	0.913	0.783	0.817	53.433	0.08	0.441	0.17	0.12	0.398	-0.621	0.08	0.072	0.113
LC120323_1_71-1192 Homo sapiens ESR1 mRNA for human estrogen receptor alpha splice variant, CTERP-1, complete cds_4	1122	17.38	24.064	28.61	29.947	54.635	57.754	47.594	58.556	0.586	0.676	0.801	0.817	51.652	0.111	0.435	0.162	0.131	0.395	-0.621	0.08	0.072	0.113
LC120323_1_71-1192 Homo sapiens ESR1 mRNA for human estrogen receptor alpha splice variant, CTERP-1, complete cds_5	1122	22.193	21.925	29.679	26.203	53.476	56.952	47.594	55.882	0.61	0.565	0.757	0.796	53.302	0.077	0.362	0.053	0.107	0.395	-0.621	0.08	0.072	0.113
LC120323_1_71-1192 Homo sapiens ESR1 mRNA for human estrogen receptor alpha splice variant, CTERP-1, complete cds_6	1122	18.449	21.39	30.749	29.412	54.902	56.684	47.861	60.16	0.738	1.009	0.803	0.829	53.069	0.107	0.435	0.162	0.128	0.395	-0.621	0.08	0.072	0.113
LC120323_1_71-1192 Homo sapiens ESR1 mRNA for human estrogen receptor alpha splice variant, CTERP-1, complete cds_7	1122	16.845	25.668	28.61	28.877	54.635	58.556	47.861	57.487	0.594	0.828	0.776	0.807	56.263	0.079	0.39	0.095	0.09	0.392	-0.621	0.08	0.072	0.113
LC120323_1_71-1192 Homo sapiens ESR1 mRNA for human estrogen receptor alpha splice variant, CTERP-1, complete cds_8	1122	20.321	22.995	27.005	29.679	53.03	54.813	47.594	56.684	1.354	1.181	0.786	0.82	53.705	0.087	0.429	0.154	0.1	0.395	-0.621	0.08	0.072	0.113
LC120323_1_71-1192 Homo sapiens ESR1 mRNA for human estrogen receptor alpha splice variant, CTERP-1, complete cds_9	1122	18.984	21.925	30.481	28.61	54.011	55.08	47.861	59.091	0.854	1.008	0.773	0.79	55.323	0.094	0.421	0.141	0.096	0.39	-0.621	0.08	0.072	0.113
